String ID,Dev Notes / Context,Character Limit,Text
New Game,Main Menu,15,Nouvelle partie
Resume Game,Main Menu,15,Reprendre la partie
Load Game,Main Menu,15,Charger la partie
Settings,Main Menu,15,Paramètres
Tutorial,Main Menu,15,Didacticiel
Patch Notes,Main Menu,15,Notes de mise à jour
Credits,Main Menu,15,Crédits
Difficulty Settings,Difficulty Menu,24,Paramètres de difficulté
Presents,Difficulty Menu,32,Préréglages
Trading,Difficulty Menu,32,Échange
Loot,Difficulty Menu,32,Butin
Progression,Difficulty Menu,32,Progression
Enemies,Difficulty Menu,32,Ennemis
Hardcore,Difficulty Menu,32,Hardcore
Rookie,Difficulty Menu,32,Recrue
Survivor,Difficulty Menu,32,Survivant
Hunter,Difficulty Menu,32,Chasseur
Sell Multiplier,Difficulty Menu,32,Multiplicateur de vente
Items Amount,Difficulty Menu,32,Quantité d'objets
Amount Of Single Item,Difficulty Menu,32,Quantité d'objet unique
Minimum Weapons Durability,Difficulty Menu,32,Durabilité minimale des armes
Maximum Weapons Durability,Difficulty Menu,32,Durabilité maximale des armes
NPCs Drop Armor,Difficulty Menu,32,Les PNJ déposent une armure
NPC Ammo Amount,Difficulty Menu,32,Quantité de munitions des PNJ
Character Health,Difficulty Menu,32,Santé du personnage
Minimum Transportable Weight,Difficulty Menu,32,Poids transportable minimal
Hunger/Thirst Decay Rate,Difficulty Menu,32,Taux de dégradation de la faim/soif
Reputation Multiplier,Difficulty Menu,32,Multiplicateur de réputation
Skill Experience Multiplier,Difficulty Menu,32,Multiplicateur d'expérience de compétence
Reputation From Quests,Difficulty Menu,32,Réputation des quêtes
Roubles From Quests,Difficulty Menu,32,Roubles des quêtes
Items From Quests,Difficulty Menu,32,Objets des quêtes
Service Price,Difficulty Menu,32,Prix du service
Human Health,Difficulty Menu,32,Santé humaine
Human Damage Dealt,"Difficulty Menu, damage dealt to humans",32,Dégâts humains infligés
Mutant Health,Difficulty Menu,32,Santé des mutants
Mutant Damage Dealt,"Difficulty Menu, damage dealt to mutants",32,Dégâts des mutants infligés
Lose Equipment,Difficulty Menu,32,Perte d'équipement
Lose Ammo,Difficulty Menu,32,Perte de munitions
Lose Medication,Difficulty Menu,32,Perte de médicaments
Lose Consumable,Difficulty Menu,32,Perte de consommables
Lose Keys,Difficulty Menu,32,Perte de clés
Lose Other Item,Difficulty Menu,32,Perte d'autres objets
Perma Death,Difficulty Menu,32,Mort permanente
Traders Money,Difficulty Menu,32,Argent des commerçants
Price: Weapons,Difficulty Menu,32,Prix: Armes
Price: Armors,Difficulty Menu,32,Prix: Armures
Price: Backpacks,Difficulty Menu,32,Prix: Sacs à dos
Price: Ammo,Difficulty Menu,32,Prix: Munitions
Price: Medications,Difficulty Menu,32,Prix: Médicaments
Buy for,Trading menu,32,Acheter pour
Next,"General Usage, go forward a step or menu",16,Suivant
Back,"General Usage, go forward a step or menu",16,Retour
Exit,"General Usage, go forward a step or menu",16,Sortie
On,"General Usage, On as in enabled",16,Activé
Off,"General Usage, Off as in disabled",16,Désactivé
Go,"General Usage, select an option or go to a place",16,Aller
Extras,"General Usage, indicating additional options",16,Extras
Track,"General Usage, track a requirement or object",16,Piste
Reward,Quest Rewards,24,Récompense
Exp,Quest Rewards,16,Exp
Rep,Quest Rewards,16,Rep
Requirements,"General Usage, quest or crafting conditions",24,Exigences
General,"General Usage, meaning general usage",24,Général
Deal,"General Usage, accepting a deal or offer",18,Offre
Forest,Map/Area Name,28,Forêt
Makeshift camp,Map/Area Name,28,Camp de fortune
Industrial area,Map/Area Name,28,Zone industrielle
Swamp,Map/Area Name,28,Marais
Mall,Map/Area Name,28,Centre commercial
CNPP,Map/Area Name,28,CNPP
Zakov,Map/Area Name,28,Zakov
Rural area,Map/Area Name,28,Zone rurale
Are you sure you want to scrap this item?,Scrap Menu,72,Êtes-vous sûr de vouloir détruire cet objet ?
"No, keep it",Scrap Menu,32,"Non, garde-le"
"Yes, destroy it",Scrap Menu,32,"Oui, détruis-le"
Add Marker,Marker context menu,24,Ajouter un marqueur
Remove Marker,Marker context menu,24,Supprimer un marqueur
Medication,Crafting Menu,24,Médicaments
Ammunition,Crafting Menu,24,Munitions
Food,Crafting Menu,24,Nourriture
Repair Kit,Crafting Menu,24,Kit de réparation
Repair Gear,Crafting Menu,24,Réparer l'équipement
Mod Weapons,Crafting Menu,24,Mod d'armes
Modules Tier 1,Crafting Menu,24,Modules de niveau 1
Modules Tier 2,Crafting Menu,24,Modules de niveau 2
Required Items,Crafting Menu,24,Objets requis
No additional requirements,Crafting Menu,32,Aucune exigence supplémentaire
Craft,Crafting Menu,24,Fabrication
Inventory,Inventory Menu,32,Inventaire
Ground,Inventory Menu,32,Sol
Anti bleed gel,Medication Items,32,Gel anti-hémorragie
Bandage,Medication Items,32,Bandage
Sterilised bandage,Medication Items,32,Bandage stérilisé
First aid medikit,Medication Items,32,Kit médical de premiers secours
Professional medikit,Medication Items,32,Kit médical professionnel
Improvised medikit,Medication Items,32,Kit médical improvisé
Standard medikit,Medication Items,32,Kit médical standard
Modern medikit,Medication Items,32,Kit médical moderne
Medikit T-000,Medication Items,32,Kit médical T-000
Anti-rad pills,Medication Items,32,Pilules antiradiations
Assault,Loadouts,32,Assaut
The tried and tested choice. A versatile loadout that's generally effective at most ranges but excels at none of them.,Loadouts - Description,160,Le choix éprouvé. Un équipement polyvalent qui est généralement efficace à la plupart des distances mais qui n'excelle dans aucune d'entre elles.
Bruiser,Loadouts,32,Cogneur
Get in close and make them hurt! What it lacks in range it makes up for in close-range superiority.,Loadouts - Description,160,"Approchez-vous et faites-leur mal ! Ce qui lui manque en portée, il le compense par sa supériorité à courte portée."
Marksman,Loadouts,32,Tireuse
They'll never see it coming. Scout out targets from afar and pick them off one-by-one. Just don't let them get too close.,Loadouts - Description,160,Ils ne le verront jamais venir. Repérez les cibles de loin et Éliminez-les une par une. Ne les laissez pas s'approcher trop près.
Ranger,Loadouts,32,Ranger
Precision on the move. Great at mid-to-long range engagements with the ability to outrange most guns. Keep a sidearm handy for when they're too close.,Loadouts - Description,160,Précision en mouvement. Excellent pour les engagements à moyenne et longue portée avec la capacité de surpasser la plupart des armes à feu. Gardez une arme de poing à portée de main lorsqu'elles sont trop proches.
Tactical Operator,Loadouts,32,Opérateur tactique
Who needs big guns? Reposition quickly and use your trusty pistol and starting flashbangs to come out on top.,Loadouts - Description,160,Qui a besoin de grosses armes ? Repositionnez-vous rapidement et utilisez votre fidèle pistolet et vos grenades assourdissantes pour sortir vainqueur.
Survivor,Loadouts,32,Survivant
Someone packed light. This is going to be rough.,Loadouts - Description,160,Quelqu'un a voyagé léger. Cela va être difficile.
Backpack 1,Backpacks,48,Sac à dos 1
Military standard backpack,Backpacks,48,Sac à dos militaire standard
Military high capacity backpack,Backpacks,48,Sac à dos militaire haute capacité
RTU Backpack,Backpacks,48,Sac à dos RTU
RTU-000 Backpack,Backpacks,48,Sac à dos RTU-000
SZX-100 Backpack,Backpacks,48,Sac à dos SZX-100
HFY Backpack,Backpacks,48,Sac à dos HFY
TQ001 Backpack,Backpacks,48,Sac à dos TQ001
EXE Backpack,Backpacks,48,Sac à dos EXE
ZXOP-500 Backpack,Backpacks,48,Sac à dos ZXOP-500
School bag,Backpacks,48,Sac d'école
Santa's Backpack,Backpacks,48,Sac à dos du Père Noël
Backpack small,Backpacks,48,Sac à dos petit
Class A documents,Documents,48,Documents de classe A
Class B documents,Documents,48,Documents de classe B
Class C documents,Documents,48,Documents de classe C
Class D documents,Documents,48,Documents de classe D
Secret documents. Hand these to a faction leader to improve your reputation.,Documents,96,Documents secrets. Remettez-les à un chef de faction pour améliorer votre réputation.
Electrical Anomaly,NPCs,48,Anomalie électrique
Fiery Anomaly,NPCs,48,Anomalie ardente
Arman,NPCs,48,Arman
Lazar,NPCs,48,Lazar
Lazar's Guard,NPCs,48,Garde de Lazar
Orel,NPCs,48,Orel
Doctor,NPCs,48,Docteur
Networker,NPCs,48,Réseauteur
Barman,NPCs,48,Barman
Big,NPCs,48,Grand
Blink,NPCs,48,Clin d'Œil 
Boar,NPCs,48,Sanglier
Mutated Boar,NPCs,48,Sanglier muté
Soldier Gedeon Bogdanov,NPCs,48,Soldat Gedeon Bogdanov
Conductor,NPCs,48,Chef d'orchestre
Soldier Ermolai Vlasov,NPCs,48,Soldat Ermolai Vlasov
Joel Emerson,NPCs,48,Joel Emerson
Max Parker,NPCs,48,Max Parker
Daniel Baker,NPCs,48,Daniel Baker
Crow,NPCs,48,Corbeau
The Networker,NPCs,48,Le réseauteur
Engineer Volkov,NPCs,48,Ingénieur Volkov
Igor Kuzmin,NPCs,48,Igor Kuzmin
Ghoul,NPCs,48,Goule
Soldier Yakim Borisov,NPCs,48,Soldat Yakim Borisov
Soldier Vadim Borisov,NPCs,48,Soldat Vadim Borisov
Soldier Kodiak Vlasov,NPCs,48,Soldat Kodiak Vlasov
The Guide,NPCs,48,Le guide
infestation,NPCs,48,Infestation
Mr. Junk,NPCs,48,M. Junk
